0	103	152	133	17	149	285	41	217	41	119	51	315	188	117	141	104	35
0	0	83	117	244	97	176	64	240	302	167	45	245	55	267	117	112	265
0	0	0	215	249	202	108	139	85	301	162	91	142	115	175	209	287	153
0	0	0	0	35	85	172	254	217	41	179	70	91	302	284	45	193	196
0	0	0	0	0	145	67	180	70	240	156	188	169	320	180	93	234	134
0	0	0	0	0	0	274	228	161	149	230	83	62	251	74	231	73	203
0	0	0	0	0	0	0	291	209	206	194	111	161	311	27	124	302	217
0	0	0	0	0	0	0	0	127	206	323	104	297	152	214	283	175	290
0	0	0	0	0	0	0	0	0	225	235	305	294	109	168	87	218	53
0	0	0	0	0	0	0	0	0	0	324	94	108	286	228	255	42	231
0	0	0	0	0	0	0	0	0	0	0	131	146	207	21	211	229	182
0	0	0	0	0	0	0	0	0	0	0	0	87	145	325	261	267	242
0	0	0	0	0	0	0	0	0	0	0	0	0	132	95	132	68	289
0	0	0	0	0	0	0	0	0	0	0	0	0	0	174	36	78	197
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	144	190	304
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	298	167
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	336
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
