0	40	51	87	24	98	99	86	25	51	84	38	2	96	86	80	52	77	42	22	24	42	74	8	31	82	43	44	20	50	45	22	30	42	61	24	63	63	64	69	21	25	49	44	35	31	28	7	17	23	98	21	41	86	28	42	6	47	32	72	20	60	64	61	88	88	40	30	39	43	29	83	7	100	9	32	8	76	3	5	47	31	17	49	83	89	2	42	76	70	51	100	89	80	12	41	20	9	35	15
0	0	7	83	35	24	79	24	82	10	22	32	98	29	8	48	46	63	10	8	52	97	43	2	28	84	91	79	19	55	33	39	27	44	89	82	38	85	70	2	28	19	46	33	7	24	46	83	76	21	80	21	69	61	30	86	72	74	11	3	95	96	81	6	8	99	8	84	37	92	93	45	6	46	8	29	90	81	73	84	86	97	5	70	5	87	16	92	76	12	19	30	52	60	75	58	54	90	52	10
0	0	0	55	93	20	62	70	12	6	64	42	51	71	90	1	38	40	100	77	65	44	46	99	26	91	65	98	21	67	36	96	76	12	44	26	5	25	98	37	64	3	99	84	57	41	42	29	99	56	37	46	35	90	93	87	68	46	85	17	76	66	24	51	99	39	25	57	67	42	70	79	20	100	13	39	12	27	72	1	21	19	88	95	66	75	82	64	75	65	92	64	82	18	6	13	97	25	14	67
0	0	0	0	53	97	97	1	16	37	10	17	72	27	34	92	79	14	4	21	44	27	41	89	62	1	95	10	95	67	6	54	95	89	62	20	22	24	80	33	36	2	80	66	40	78	48	74	93	81	57	37	87	58	3	45	48	96	1	80	79	49	44	91	4	63	25	35	9	98	65	72	62	89	72	39	11	98	1	86	21	30	17	95	57	12	86	50	5	32	88	29	93	87	46	32	67	54	10	9
0	0	0	0	0	29	25	69	54	85	83	41	49	31	67	92	66	44	2	60	51	85	79	16	75	55	66	68	94	98	57	27	2	7	15	26	40	77	53	60	55	55	72	4	1	56	43	39	29	24	73	7	5	80	75	68	69	9	21	1	19	82	89	16	88	6	2	9	77	82	74	12	99	11	29	46	72	92	90	9	59	22	40	50	80	93	57	53	1	2	93	99	38	7	97	13	79	89	46	64
0	0	0	0	0	0	48	49	24	15	35	9	14	4	30	94	40	96	68	23	52	96	66	46	74	65	6	5	67	33	8	25	23	99	28	55	3	51	68	8	79	42	66	8	51	66	25	8	2	11	59	12	58	82	80	63	47	49	73	87	64	82	65	36	4	21	85	37	12	3	72	89	87	33	86	41	62	53	35	44	74	76	38	48	14	24	14	92	31	10	85	13	70	27	35	51	34	25	7	70
0	0	0	0	0	0	0	88	45	24	44	100	99	11	100	9	6	90	79	83	2	36	26	42	4	5	14	3	20	32	100	100	27	57	70	49	69	65	68	51	1	1	83	71	74	71	85	2	84	47	52	70	97	73	56	38	70	55	52	11	4	88	29	81	34	22	73	64	81	7	75	41	65	61	81	59	54	41	69	19	61	84	13	27	47	31	91	47	67	73	25	42	72	45	50	81	99	47	94	4
0	0	0	0	0	0	0	0	38	4	38	19	73	26	12	33	85	57	80	9	47	70	47	98	76	70	46	44	38	40	76	13	15	91	80	32	59	9	80	71	58	60	89	81	65	10	97	44	51	63	38	18	45	100	9	9	2	88	91	99	55	50	60	83	90	73	8	90	3	93	26	4	53	40	57	41	55	26	95	8	31	61	59	13	47	33	65	87	82	59	41	94	40	1	51	51	23	17	49	65
0	0	0	0	0	0	0	0	0	56	13	50	45	43	62	86	77	29	68	35	42	80	90	81	45	82	100	98	10	77	67	68	37	50	93	28	46	53	12	37	26	30	5	97	78	25	50	24	93	39	25	13	100	28	53	80	62	47	5	46	62	26	56	96	81	87	27	1	94	94	71	40	79	32	69	93	62	77	77	82	69	40	72	95	51	1	73	6	49	3	3	72	28	98	8	95	72	4	82	20
0	0	0	0	0	0	0	0	0	0	42	95	89	26	69	38	74	54	54	61	40	31	40	75	18	58	40	11	14	89	25	90	4	45	68	62	27	62	99	81	78	22	94	49	69	48	89	51	28	62	84	69	17	76	64	6	95	32	83	93	86	61	88	52	66	11	66	63	17	4	54	95	8	15	38	100	13	85	47	3	84	65	39	57	89	82	18	98	81	20	42	40	32	3	85	74	60	64	47	58
