0	286	118	45	271	265	91	136	29	23	251	234	265	183	63	63	231
0	0	207	234	117	204	69	76	218	274	12	104	222	78	152	137	114
0	0	0	119	109	183	73	42	25	74	265	44	157	63	269	281	256
0	0	0	0	225	22	196	141	188	198	87	81	52	243	218	46	67
0	0	0	0	0	43	182	287	279	145	93	31	174	221	148	66	279
0	0	0	0	0	0	64	119	149	26	196	186	191	201	75	233	160
0	0	0	0	0	0	0	82	165	258	288	35	22	33	208	97	165
0	0	0	0	0	0	0	0	214	33	58	209	113	274	129	229	56
0	0	0	0	0	0	0	0	0	46	20	183	136	12	33	132	138
0	0	0	0	0	0	0	0	0	0	180	59	63	178	202	102	194
0	0	0	0	0	0	0	0	0	0	0	96	221	204	37	16	123
0	0	0	0	0	0	0	0	0	0	0	0	167	199	88	229	175
0	0	0	0	0	0	0	0	0	0	0	0	0	237	223	128	233
0	0	0	0	0	0	0	0	0	0	0	0	0	0	92	159	249
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	170
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	203
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
