0	179	45	187	86	222	53	87	159	110	189	89	90	207	193
0	0	168	45	77	171	39	74	186	143	70	68	119	66	26
0	0	0	78	47	42	134	147	21	50	216	17	110	206	30
0	0	0	0	199	184	221	143	72	152	202	192	150	152	43
0	0	0	0	0	92	57	178	188	205	33	109	111	16	191
0	0	0	0	0	0	135	215	72	20	127	180	47	102	59
0	0	0	0	0	0	0	106	183	199	201	132	17	60	19
0	0	0	0	0	0	0	0	169	184	170	75	71	22	25
0	0	0	0	0	0	0	0	0	19	44	77	224	108	26
0	0	0	0	0	0	0	0	0	0	35	225	223	155	39
0	0	0	0	0	0	0	0	0	0	0	110	50	42	214
0	0	0	0	0	0	0	0	0	0	0	0	107	128	216
0	0	0	0	0	0	0	0	0	0	0	0	0	158	78
0	0	0	0	0	0	0	0	0	0	0	0	0	0	196
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
