0	97	247	340	195	11	369	231	275	356	171	314	42	176	372	223	53	35	193	210
0	0	225	168	234	94	357	47	268	307	20	17	388	248	353	222	322	96	208	67
0	0	0	224	132	16	144	106	383	220	214	101	136	234	211	358	173	22	69	63
0	0	0	0	352	311	269	303	127	393	73	158	371	60	346	86	129	62	18	207
0	0	0	0	0	71	217	21	221	29	112	194	356	24	209	349	403	133	235	191
0	0	0	0	0	0	227	81	35	178	235	378	90	91	327	290	296	46	274	370
0	0	0	0	0	0	0	273	190	350	401	358	173	183	44	163	168	77	143	61
0	0	0	0	0	0	0	0	43	402	255	226	58	62	20	259	259	388	132	138
0	0	0	0	0	0	0	0	0	51	357	263	216	25	221	162	401	95	308	133
0	0	0	0	0	0	0	0	0	0	279	174	388	355	106	142	107	326	178	204
0	0	0	0	0	0	0	0	0	0	0	229	57	204	135	362	375	350	29	327
0	0	0	0	0	0	0	0	0	0	0	0	164	396	74	212	216	213	54	408
0	0	0	0	0	0	0	0	0	0	0	0	0	225	226	115	134	146	404	400
0	0	0	0	0	0	0	0	0	0	0	0	0	0	196	356	77	161	365	239
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	299	179	59	346	252
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	142	114	364	31
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	312	163	96
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200	41
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
