0	23	25	21	18	14	19	17	17	3	25	23	12	6	24	15	6	18	5	5	20	2	3	13	16
0	0	17	3	9	20	2	7	19	20	10	9	22	13	7	18	5	19	5	24	21	12	20	16	16
0	0	0	25	21	12	18	14	18	28	11	22	20	20	12	18	10	22	4	10	24	22	26	24	14
0	0	0	0	24	3	25	28	25	15	16	7	6	28	9	12	14	15	11	24	14	11	17	14	19
0	0	0	0	0	22	11	15	12	16	19	27	8	12	12	23	15	19	16	17	7	22	13	19	13
0	0	0	0	0	0	23	25	21	10	31	18	10	18	17	12	17	10	26	14	29	17	21	10	14
0	0	0	0	0	0	0	10	31	10	16	25	19	27	14	11	22	13	18	15	11	8	23	22	10
0	0	0	0	0	0	0	0	28	11	6	23	12	5	17	8	27	19	7	30	15	19	11	26	25
0	0	0	0	0	0	0	0	0	29	25	33	17	18	8	23	23	28	13	25	14	26	21	18	2
0	0	0	0	0	0	0	0	0	0	32	25	23	9	6	13	23	33	19	18	27	31	19	25	8
0	0	0	0	0	0	0	0	0	0	0	30	21	24	32	27	27	18	23	23	11	32	20	22	32
0	0	0	0	0	0	0	0	0	0	0	0	23	28	11	20	23	12	32	31	7	36	28	8	19
0	0	0	0	0	0	0	0	0	0	0	0	0	12	17	33	17	3	32	28	19	13	35	20	27
0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	18	25	36	13	32	30	27	16	26	21
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	16	8	13	37	30	12	11	9	18
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	27	27	10	33	29	26	10	36
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	5	37	10	23	8	14	27
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	13	26	34	8	38	25
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	11	34	7	23	18
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	23	33	26	28
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	15	26	14
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	43	8
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	19
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
