0	252	11	313	80	199	24	100	257	326	163	253	322	48	311	52	72	248	222
0	0	35	136	106	35	160	288	271	45	100	230	159	26	90	109	128	348	104
0	0	0	143	129	162	330	254	95	264	167	340	117	19	361	307	88	231	277
0	0	0	0	29	164	316	193	114	131	189	363	85	157	113	217	45	247	192
0	0	0	0	0	170	295	139	190	23	101	234	47	176	171	119	323	325	119
0	0	0	0	0	0	289	329	117	204	170	185	281	251	361	304	351	194	283
0	0	0	0	0	0	0	23	289	99	366	206	225	270	352	149	63	179	331
0	0	0	0	0	0	0	0	307	106	339	197	290	269	262	79	254	126	120
0	0	0	0	0	0	0	0	0	117	187	99	189	319	64	324	76	213	70
0	0	0	0	0	0	0	0	0	0	51	174	167	168	229	358	46	155	136
0	0	0	0	0	0	0	0	0	0	0	117	246	344	356	86	348	95	142
0	0	0	0	0	0	0	0	0	0	0	0	345	26	182	49	302	251	196
0	0	0	0	0	0	0	0	0	0	0	0	0	302	60	66	292	224	28
0	0	0	0	0	0	0	0	0	0	0	0	0	0	216	200	264	325	108
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	208	158	156	95
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	113	263	200
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	343	156
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	166
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
