0	129	55	183	45	90	154	207	98	199	226	89	82	190	152
0	0	175	72	77	31	92	224	113	100	60	212	131	126	138
0	0	0	156	198	115	19	189	65	54	178	179	123	31	66
0	0	0	0	203	40	22	165	211	135	183	34	173	220	126
0	0	0	0	0	76	66	19	96	73	71	160	53	223	41
0	0	0	0	0	0	122	17	31	173	29	126	20	66	160
0	0	0	0	0	0	0	112	220	43	167	94	122	121	107
0	0	0	0	0	0	0	0	144	195	58	76	111	227	104
0	0	0	0	0	0	0	0	0	16	83	71	75	162	126
0	0	0	0	0	0	0	0	0	0	46	139	43	194	53
0	0	0	0	0	0	0	0	0	0	0	56	174	151	204
0	0	0	0	0	0	0	0	0	0	0	0	157	43	186
0	0	0	0	0	0	0	0	0	0	0	0	0	58	124
0	0	0	0	0	0	0	0	0	0	0	0	0	0	194
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
