0	4	8	7	12	8	12	15	8	8	11	10	16	16	7	8
0	0	7	12	15	16	11	7	3	15	8	4	11	14	14	3
0	0	0	7	18	15	9	17	12	9	17	8	14	3	18	8
0	0	0	0	4	17	3	7	9	15	13	7	12	7	17	7
0	0	0	0	0	12	12	11	14	16	16	19	19	9	6	20
0	0	0	0	0	0	7	4	19	15	16	10	8	9	22	13
0	0	0	0	0	0	0	8	12	6	12	7	10	23	14	20
0	0	0	0	0	0	0	0	12	7	8	21	13	8	8	17
0	0	0	0	0	0	0	0	0	6	6	17	21	12	17	9
0	0	0	0	0	0	0	0	0	0	18	7	2	14	4	18
0	0	0	0	0	0	0	0	0	0	0	22	7	21	15	15
0	0	0	0	0	0	0	0	0	0	0	0	12	15	19	19
0	0	0	0	0	0	0	0	0	0	0	0	0	16	22	23
0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	15
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
