0	16	30	56	53	25	25	31	8	47	37	19	63	28	52	6	37	10	28	60	56	24	42	49	47	29	51	3	31	35	55	55	21	23	52	16	10	37	52	56	2	57	22	48	22	17	6	21	6	57	38	40	60	57	17	43	36	60	20	9	52	33	6	37
0	0	43	37	36	54	50	30	48	28	52	36	46	47	39	51	65	54	39	28	60	37	6	64	16	61	4	46	59	57	5	39	22	51	38	8	63	51	48	65	18	65	65	48	6	25	27	56	44	56	42	45	56	49	44	39	50	11	63	40	59	30	55	26
0	0	0	22	55	11	31	60	17	55	23	14	63	36	25	34	14	9	15	34	5	33	59	8	46	64	15	38	29	52	60	28	7	42	6	17	4	19	29	55	32	15	39	30	37	31	45	24	65	59	9	5	67	40	59	53	31	17	52	41	39	24	42	26
0	0	0	0	35	34	11	64	61	46	66	21	62	62	16	23	37	39	62	51	24	57	7	14	27	54	39	50	14	62	50	9	64	38	23	43	42	35	61	53	62	20	52	10	27	29	34	65	61	17	22	15	47	25	21	58	54	22	9	60	30	38	51	7
0	0	0	0	0	67	8	52	7	41	30	52	25	8	26	63	27	52	27	46	41	62	11	21	18	53	11	7	21	49	9	56	2	25	14	17	6	42	68	52	5	59	5	44	25	38	60	32	49	23	8	42	2	19	11	15	17	18	8	14	38	20	44	36
0	0	0	0	0	0	35	23	24	35	43	26	5	60	67	56	14	33	24	14	63	40	48	10	8	54	38	60	65	58	36	49	15	35	25	26	56	52	68	6	44	30	28	62	31	54	47	17	23	30	10	20	60	6	32	69	3	26	32	40	25	43	17	65
0	0	0	0	0	0	0	41	34	63	5	23	31	41	10	44	30	47	14	26	25	53	8	44	14	54	45	37	21	61	23	39	40	41	49	28	30	25	5	10	12	34	44	55	48	56	11	43	45	46	28	27	32	33	17	40	61	23	58	25	25	4	43	18
0	0	0	0	0	0	0	0	63	40	38	48	28	60	54	64	68	8	26	11	70	31	13	35	51	25	42	39	69	8	62	63	55	33	42	55	37	23	25	30	25	7	12	41	59	35	56	66	3	22	27	41	54	15	15	14	18	26	41	39	17	16	27	31
0	0	0	0	0	0	0	0	0	26	56	61	64	62	23	16	25	48	8	51	12	13	64	10	52	46	60	16	12	11	14	36	63	38	18	23	9	26	12	63	64	58	11	51	56	58	20	61	65	35	50	59	13	61	32	27	47	39	70	65	41	32	51	55
0	0	0	0	0	0	0	0	0	0	57	25	58	41	62	26	23	15	49	60	44	63	39	36	3	43	68	47	49	9	46	44	33	30	24	26	59	53	50	63	63	24	10	61	59	10	20	52	34	14	40	48	59	47	7	19	34	24	37	68	42	21	35	49
0	0	0	0	0	0	0	0	0	0	0	38	26	17	24	23	68	11	14	51	55	62	39	62	15	39	45	66	11	45	53	66	52	64	24	39	51	21	28	15	41	18	19	56	32	40	24	16	12	31	14	67	34	12	45	5	6	15	50	21	65	23	57	36
0	0	0	0	0	0	0	0	0	0	0	0	64	61	38	53	22	48	40	31	60	71	47	36	53	11	49	69	59	45	39	50	73	49	14	30	12	36	22	49	22	44	57	17	4	76	45	27	30	51	22	38	35	46	17	37	12	54	29	60	72	36	66	46
0	0	0	0	0	0	0	0	0	0	0	0	0	43	28	54	67	69	18	50	63	2	38	31	25	33	19	46	74	56	53	57	35	25	16	43	26	12	27	58	29	74	52	10	40	63	15	42	60	17	26	39	68	23	31	12	16	25	26	53	16	42	60	65
