0	29	8	22	28	8	12	4	2	17	22	26	21	5	18	31	3	28	9	14	14	8	15	28	16	24	19	26	3	26	29	27
0	0	24	2	18	7	13	17	15	6	30	20	20	15	20	32	17	13	33	12	12	5	19	12	29	15	4	18	24	3	33	28
0	0	0	6	21	15	15	8	14	18	3	24	26	23	26	27	30	8	11	21	11	26	10	32	12	7	9	22	35	16	14	8
0	0	0	0	12	15	25	8	4	13	27	6	19	4	32	24	31	25	12	31	16	25	31	29	30	29	25	26	16	18	28	32
0	0	0	0	0	12	26	20	5	25	28	17	23	33	7	6	34	29	35	23	6	25	24	23	10	30	12	33	16	32	11	31
0	0	0	0	0	0	31	30	15	8	14	14	32	8	9	6	17	5	15	32	23	23	35	10	31	12	9	25	13	24	11	19
0	0	0	0	0	0	0	19	34	27	16	29	39	31	12	34	36	32	33	36	10	21	38	31	34	10	18	10	30	33	8	22
0	0	0	0	0	0	0	0	27	34	19	26	14	11	23	26	34	32	16	32	20	11	22	18	15	10	23	13	6	14	15	18
0	0	0	0	0	0	0	0	0	13	14	16	19	19	25	33	18	41	6	27	10	7	40	33	21	36	11	14	12	22	24	4
0	0	0	0	0	0	0	0	0	0	27	12	6	32	11	42	21	39	5	6	30	21	25	36	34	19	7	36	24	16	22	34
0	0	0	0	0	0	0	0	0	0	0	18	29	17	21	12	30	20	42	22	39	18	40	18	13	24	11	22	35	32	12	15
0	0	0	0	0	0	0	0	0	0	0	0	39	30	18	39	42	13	14	23	26	4	21	26	18	28	17	36	14	21	13	41
0	0	0	0	0	0	0	0	0	0	0	0	0	18	19	26	26	25	34	26	29	16	38	23	23	14	19	24	27	32	27	19
0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	45	36	18	43	35	19	40	33	30	6	38	12	21	17	14	18	11
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	34	32	23	28	29	33	38	46	31	14	10	34	22	22	42	30
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	34	27	12	20	24	19	33	29	21	33	27	35	33	36	17
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	13	33	43	34	20	20	32	28	29	37	41	14	45	21
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	26	23	7	25	29	26	33	28	33	11	33	17	31
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	12	25	38	38	25	21	48	25	10	9	19	19
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	16	9	44	19	45	25	16	46	33	35	32
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	17	37	23	16	46	43	30	12	24	26
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	18	31	21	20	23	37	34	43	35
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	37	28	25	30	29	26	25	26
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	7	6	32	31	44	35	23
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	13	26	39	45	46	29
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	21	36	42	46	14
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	12	34	14	30
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	21	37	26
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	54	42
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	37
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
